# HELP datafusion_mem_pool_bytes Number of bytes within the datafusion memory pool
# TYPE datafusion_mem_pool_bytes gauge
datafusion_mem_pool_bytes{state="limit"} 2505732915
datafusion_mem_pool_bytes{state="reserved"} 0
# HELP http_request_duration_seconds distribution of request latencies
# TYPE http_request_duration_seconds histogram
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="0.01"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="0.025"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="0.05"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="0.1"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="0.25"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="0.5"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="1"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="2.5"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="5"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="10"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="server_error",le="inf"} 0
http_request_duration_seconds_sum{method="GET",method_path="GET /ping",path="/ping",status="server_error"} 0
http_request_duration_seconds_count{method="GET",method_path="GET /ping",path="/ping",status="server_error"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="0.001"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="0.0025"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="0.005"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="0.01"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="0.025"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="0.05"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="0.1"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="0.25"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="0.5"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="1"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="2.5"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="5"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="10"} 0
http_request_duration_seconds_bucket{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response",le="inf"} 0
http_request_duration_seconds_sum{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response"} 0
http_request_duration_seconds_count{method="GET",method_path="GET /ping",path="/ping",status="unexpected_response"} 0
http_request_duration_seconds_bucket{method="POST",method_path="POST /api/v3/configure/database",path="/api/v3/configure/database",status="client_error",le="0.001"} 0
http_request_duration_seconds_bucket{method="POST",method_path="POST /api/v3/configure/database",path="/api/v3/configure/database",status="client_error",le="0.0025"} 0
http_request_duration_seconds_bucket{method="POST",method_path="POST /api/v3/configure/database",path="/api/v3/configure/database",status="client_error",le="0.005"} 0
http_request_duration_seconds_bucket{method="POST",method_path="POST /api/v3/configure/database",path="/api/v3/configure/database",status="client_error",le="0.01"} 0
http_request_duration_seconds_bucket{method="POST",method_path="POST /api/v3/configure/database",path="/api/v3/configure/database",status="client_error",le="0.025"} 0
http_request_duration_seconds_bucket{method="POST",method_path="POST /api/v3/configure/database",path="/api/v3/configure/database",status="client_error",le="0.05"} 0
http_request_duration_seconds_bucket{method="POST",method_path="POST /api/v3/configure/database",path="/api/v3/configure/database",status="client_error",le="0.1"} 0
http_request_duration_seconds_bucket{method="POST",method_path="POST /api/v3/configure/database",path="/api/v3/configure/database",status="client_error",le="0.25"} 0
http_request_duration_seconds_bucket{method="POST",method_path="POST /api/v3/configure/database",path="/api/v3/configure/database",status="client_error",le="0.5"} 0
